input,recipe_name,output
cauliflower capsicum carrot mushroom ginger peas,Cauliflower Fry,"### CONTEXT
Ingredients: cauliflower, capsicum, carrot, mushroom, ginger, peas

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté capsicum until aromatic.
<STEP> Add cauliflower and cook on medium heat until sealed.
<STEP> Add carrot and stir continuously so ingredients combine well.
<STEP> Mix in mushroom and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with carrot and mushroom.
<END>"
rice raisins yogurt peas mushroom potato,Potato Biryani,"### CONTEXT
Ingredients: rice, raisins, yogurt, peas, mushroom, potato

### ANSWER
<RECIPE_NAME> Potato Biryani
<STEP> Heat ghee in a pot and sauté raisins until fragrant.
<STEP> Add yogurt and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add peas and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with yogurt.
<END>"
rice potato carrot beans egg ghee paneer,Paneer Pulao,"### CONTEXT
Ingredients: rice, potato, carrot, beans, egg, ghee, paneer

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté potato until fragrant.
<STEP> Add carrot and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add beans and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with carrot.
<END>"
potato cream carrot ghee spinach cashew paste okra,Potato Curry,"### CONTEXT
Ingredients: potato, cream, carrot, ghee, spinach, cashew paste, okra

### ANSWER
<RECIPE_NAME> Potato Curry
<STEP> Heat oil in pan and sauté cream until slightly golden.
<STEP> Add carrot and cook until the mixture turns soft.
<STEP> Add potato with ghee and stir gently to coat.
<STEP> Cook the mixture until potato absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour oil peas salt paneer potato cauliflower,Paneer Paratha,"### CONTEXT
Ingredients: flour, oil, peas, salt, paneer, potato, cauliflower

### ANSWER
<RECIPE_NAME> Paneer Paratha
<STEP> Mix flour with oil and peas until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little salt.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with oil or yogurt.
<END>"
rice cashew ghee carrot mint onion paneer,Paneer Biryani,"### CONTEXT
Ingredients: rice, cashew, ghee, carrot, mint, onion, paneer

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté cashew until fragrant.
<STEP> Add ghee and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add carrot and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with ghee.
<END>"
mushroom garlic okra capsicum tomato ginger,Okra Curry,"### CONTEXT
Ingredients: mushroom, garlic, okra, capsicum, tomato, ginger

### ANSWER
<RECIPE_NAME> Okra Curry
<STEP> Heat oil in pan and sauté garlic until slightly golden.
<STEP> Add okra and cook until the mixture turns soft.
<STEP> Add mushroom with capsicum and stir gently to coat.
<STEP> Cook the mixture until mushroom absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
carrot beans cauliflower spinach cashew paste,Cauliflower Curry,"### CONTEXT
Ingredients: carrot, beans, cauliflower, spinach, cashew paste

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté beans until slightly golden.
<STEP> Add cauliflower and cook until the mixture turns soft.
<STEP> Add carrot with spinach and stir gently to coat.
<STEP> Cook the mixture until carrot absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
chicken butter capsicum carrot ginger potato,Chicken Fry,"### CONTEXT
Ingredients: chicken, butter, capsicum, carrot, ginger, potato

### ANSWER
<RECIPE_NAME> Chicken Fry
<STEP> Heat oil in pan and sauté butter until aromatic.
<STEP> Add chicken and cook on medium heat until sealed.
<STEP> Add capsicum and stir continuously so ingredients combine well.
<STEP> Mix in carrot and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with capsicum and carrot.
<END>"
paneer beans cashew paste carrot tomato yogurt,Shahi Paneer,"### CONTEXT
Ingredients: paneer, beans, cashew paste, carrot, tomato, yogurt

### ANSWER
<RECIPE_NAME> Shahi Paneer
<STEP> Heat oil in pan and sauté beans until slightly golden.
<STEP> Add cashew paste and cook until the mixture turns soft.
<STEP> Add paneer with carrot and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
mutton beans spinach carrot cauliflower garlic potato,Mutton Fry,"### CONTEXT
Ingredients: mutton, beans, spinach, carrot, cauliflower, garlic, potato

### ANSWER
<RECIPE_NAME> Mutton Fry
<STEP> Heat oil in pan and sauté beans until aromatic.
<STEP> Add mutton and cook on medium heat until sealed.
<STEP> Add spinach and stir continuously so ingredients combine well.
<STEP> Mix in carrot and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with spinach and carrot.
<END>"
spinach onion peas oil okra,Spinach Curry,"### CONTEXT
Ingredients: spinach, onion, peas, oil, okra

### ANSWER
<RECIPE_NAME> Spinach Curry
<STEP> Heat oil in pan and sauté onion until slightly golden.
<STEP> Add peas and cook until the mixture turns soft.
<STEP> Add spinach with oil and stir gently to coat.
<STEP> Cook the mixture until spinach absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
paneer garlic spinach potato cashew paste cauliflower ghee,Malai Paneer,"### CONTEXT
Ingredients: paneer, garlic, spinach, potato, cashew paste, cauliflower, ghee

### ANSWER
<RECIPE_NAME> Malai Paneer
<STEP> Heat oil in pan and sauté garlic until slightly golden.
<STEP> Add spinach and cook until the mixture turns soft.
<STEP> Add paneer with potato and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour cauliflower water paneer oil salt,Paneer Paratha,"### CONTEXT
Ingredients: flour, cauliflower, water, paneer, oil, salt

### ANSWER
<RECIPE_NAME> Paneer Paratha
<STEP> Mix flour with cauliflower and water until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little paneer.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with cauliflower or yogurt.
<END>"
chicken spinach potato mushroom oil beans,Afghani Chicken,"### CONTEXT
Ingredients: chicken, spinach, potato, mushroom, oil, beans

### ANSWER
<RECIPE_NAME> Afghani Chicken
<STEP> Heat oil in pan and sauté spinach until slightly golden.
<STEP> Add potato and cook until the mixture turns soft.
<STEP> Add chicken with mushroom and stir gently to coat.
<STEP> Cook the mixture until chicken absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour water peas yogurt cauliflower oil spinach,Cauliflower Paratha,"### CONTEXT
Ingredients: flour, water, peas, yogurt, cauliflower, oil, spinach

### ANSWER
<RECIPE_NAME> Cauliflower Paratha
<STEP> Mix flour with water and peas until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little yogurt.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with water or yogurt.
<END>"
rice potato mushroom raisins peas onion yogurt,Potato Biryani,"### CONTEXT
Ingredients: rice, potato, mushroom, raisins, peas, onion, yogurt

### ANSWER
<RECIPE_NAME> Potato Biryani
<STEP> Heat ghee in a pot and sauté potato until fragrant.
<STEP> Add mushroom and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add raisins and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with mushroom.
<END>"
mushroom capsicum potato peas spinach onion,Potato Fry,"### CONTEXT
Ingredients: mushroom, capsicum, potato, peas, spinach, onion

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté capsicum until aromatic.
<STEP> Add mushroom and cook on medium heat until sealed.
<STEP> Add potato and stir continuously so ingredients combine well.
<STEP> Mix in peas and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with potato and peas.
<END>"
paneer okra tomato garlic spinach brinjal,Paneer Butter Masala,"### CONTEXT
Ingredients: paneer, okra, tomato, garlic, spinach, brinjal

### ANSWER
<RECIPE_NAME> Paneer Butter Masala
<STEP> Heat oil in pan and sauté okra until slightly golden.
<STEP> Add tomato and cook until the mixture turns soft.
<STEP> Add paneer with garlic and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
mutton coriander mint cream ginger lemon,Tandoori Mutton,"### CONTEXT
Ingredients: mutton, coriander, mint, cream, ginger, lemon

### ANSWER
<RECIPE_NAME> Tandoori Mutton
<STEP> Marinate mutton with coriander, mint and cream thoroughly.
<STEP> Coat the mixture well so mutton absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated mutton rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with coriander and lemon.
<END>"
chicken onion beans ginger oil cauliflower butter,Chicken Fry,"### CONTEXT
Ingredients: chicken, onion, beans, ginger, oil, cauliflower, butter

### ANSWER
<RECIPE_NAME> Chicken Fry
<STEP> Heat oil in pan and sauté onion until aromatic.
<STEP> Add chicken and cook on medium heat until sealed.
<STEP> Add beans and stir continuously so ingredients combine well.
<STEP> Mix in ginger and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with beans and ginger.
<END>"
peas capsicum carrot garlic onion beans cauliflower,Cauliflower Fry,"### CONTEXT
Ingredients: peas, capsicum, carrot, garlic, onion, beans, cauliflower

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté capsicum until aromatic.
<STEP> Add peas and cook on medium heat until sealed.
<STEP> Add carrot and stir continuously so ingredients combine well.
<STEP> Mix in garlic and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with carrot and garlic.
<END>"
flour peas salt paneer cauliflower water,Paneer Paratha,"### CONTEXT
Ingredients: flour, peas, salt, paneer, cauliflower, water

### ANSWER
<RECIPE_NAME> Paneer Paratha
<STEP> Mix flour with peas and salt until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little paneer.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with peas or yogurt.
<END>"
rice egg raisins mint beans potato,Egg Biryani,"### CONTEXT
Ingredients: rice, egg, raisins, mint, beans, potato

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté egg until fragrant.
<STEP> Add raisins and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add mint and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with raisins.
<END>"
rice potato mushroom cashew beans,Potato Pulao,"### CONTEXT
Ingredients: rice, potato, mushroom, cashew, beans

### ANSWER
<RECIPE_NAME> Potato Pulao
<STEP> Heat ghee in a pot and sauté potato until fragrant.
<STEP> Add mushroom and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add cashew and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with mushroom.
<END>"
flour potato cauliflower mushroom spinach yogurt,Potato Paratha,"### CONTEXT
Ingredients: flour, potato, cauliflower, mushroom, spinach, yogurt

### ANSWER
<RECIPE_NAME> Potato Paratha
<STEP> Mix flour with potato and cauliflower until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little mushroom.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with potato or yogurt.
<END>"
chicken coriander ginger hung curd garlic lemon,Tandoori Chicken,"### CONTEXT
Ingredients: chicken, coriander, ginger, hung curd, garlic, lemon

### ANSWER
<RECIPE_NAME> Tandoori Chicken
<STEP> Marinate chicken with coriander, ginger and hung curd thoroughly.
<STEP> Coat the mixture well so chicken absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated chicken rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with coriander and lemon.
<END>"
beans cashew paste tomato okra spinach ghee,Spinach Curry,"### CONTEXT
Ingredients: beans, cashew paste, tomato, okra, spinach, ghee

### ANSWER
<RECIPE_NAME> Spinach Curry
<STEP> Heat oil in pan and sauté cashew paste until slightly golden.
<STEP> Add tomato and cook until the mixture turns soft.
<STEP> Add beans with okra and stir gently to coat.
<STEP> Cook the mixture until beans absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
spinach okra yogurt capsicum,Spinach Curry,"### CONTEXT
Ingredients: spinach, okra, yogurt, capsicum

### ANSWER
<RECIPE_NAME> Spinach Curry
<STEP> Heat oil in pan and sauté okra until slightly golden.
<STEP> Add yogurt and cook until the mixture turns soft.
<STEP> Add spinach with capsicum and stir gently to coat.
<STEP> Cook the mixture until spinach absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
beans butter capsicum ginger,Beans Fry,"### CONTEXT
Ingredients: beans, butter, capsicum, ginger

### ANSWER
<RECIPE_NAME> Beans Fry
<STEP> Heat oil in pan and sauté butter until aromatic.
<STEP> Add beans and cook on medium heat until sealed.
<STEP> Add capsicum and stir continuously so ingredients combine well.
<STEP> Mix in ginger and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with capsicum and ginger.
<END>"
mushroom beans peas garlic cauliflower onion spinach,Cauliflower Fry,"### CONTEXT
Ingredients: mushroom, beans, peas, garlic, cauliflower, onion, spinach

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté beans until aromatic.
<STEP> Add mushroom and cook on medium heat until sealed.
<STEP> Add peas and stir continuously so ingredients combine well.
<STEP> Mix in garlic and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with peas and garlic.
<END>"
flour paneer mushroom water onion,Paneer Paratha,"### CONTEXT
Ingredients: flour, paneer, mushroom, water, onion

### ANSWER
<RECIPE_NAME> Paneer Paratha
<STEP> Mix flour with paneer and mushroom until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little water.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with paneer or yogurt.
<END>"
beans garlic mushroom butter,Mushroom Fry,"### CONTEXT
Ingredients: beans, garlic, mushroom, butter

### ANSWER
<RECIPE_NAME> Mushroom Fry
<STEP> Heat oil in pan and sauté garlic until aromatic.
<STEP> Add beans and cook on medium heat until sealed.
<STEP> Add mushroom and stir continuously so ingredients combine well.
<STEP> Mix in butter and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with mushroom and butter.
<END>"
carrot cauliflower butter ginger garlic,Cauliflower Fry,"### CONTEXT
Ingredients: carrot, cauliflower, butter, ginger, garlic

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté cauliflower until aromatic.
<STEP> Add carrot and cook on medium heat until sealed.
<STEP> Add butter and stir continuously so ingredients combine well.
<STEP> Mix in ginger and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with butter and ginger.
<END>"
chicken mushroom yogurt oil okra cashew paste,Chicken Curry,"### CONTEXT
Ingredients: chicken, mushroom, yogurt, oil, okra, cashew paste

### ANSWER
<RECIPE_NAME> Chicken Curry
<STEP> Heat oil in pan and sauté mushroom until slightly golden.
<STEP> Add yogurt and cook until the mixture turns soft.
<STEP> Add chicken with oil and stir gently to coat.
<STEP> Cook the mixture until chicken absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
cauliflower garlic tomato onion okra ginger,Cauliflower Curry,"### CONTEXT
Ingredients: cauliflower, garlic, tomato, onion, okra, ginger

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté garlic until slightly golden.
<STEP> Add tomato and cook until the mixture turns soft.
<STEP> Add cauliflower with onion and stir gently to coat.
<STEP> Cook the mixture until cauliflower absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
capsicum spinach butter carrot cauliflower onion mushroom,Cauliflower Fry,"### CONTEXT
Ingredients: capsicum, spinach, butter, carrot, cauliflower, onion, mushroom

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté spinach until aromatic.
<STEP> Add capsicum and cook on medium heat until sealed.
<STEP> Add butter and stir continuously so ingredients combine well.
<STEP> Mix in carrot and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with butter and carrot.
<END>"
mutton butter potato carrot oil,Mutton Fry,"### CONTEXT
Ingredients: mutton, butter, potato, carrot, oil

### ANSWER
<RECIPE_NAME> Mutton Fry
<STEP> Heat oil in pan and sauté butter until aromatic.
<STEP> Add mutton and cook on medium heat until sealed.
<STEP> Add potato and stir continuously so ingredients combine well.
<STEP> Mix in carrot and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with potato and carrot.
<END>"
peas mushroom ghee onion beans cream,Mushroom Curry,"### CONTEXT
Ingredients: peas, mushroom, ghee, onion, beans, cream

### ANSWER
<RECIPE_NAME> Mushroom Curry
<STEP> Heat oil in pan and sauté mushroom until slightly golden.
<STEP> Add ghee and cook until the mixture turns soft.
<STEP> Add peas with onion and stir gently to coat.
<STEP> Cook the mixture until peas absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
brinjal spinach mushroom carrot garlic ginger,Spinach Fry,"### CONTEXT
Ingredients: brinjal, spinach, mushroom, carrot, garlic, ginger

### ANSWER
<RECIPE_NAME> Spinach Fry
<STEP> Heat oil in pan and sauté spinach until aromatic.
<STEP> Add brinjal and cook on medium heat until sealed.
<STEP> Add mushroom and stir continuously so ingredients combine well.
<STEP> Mix in carrot and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with mushroom and carrot.
<END>"
paneer cashew paste ginger potato cauliflower,Paneer Butter Masala,"### CONTEXT
Ingredients: paneer, cashew paste, ginger, potato, cauliflower

### ANSWER
<RECIPE_NAME> Paneer Butter Masala
<STEP> Heat oil in pan and sauté cashew paste until slightly golden.
<STEP> Add ginger and cook until the mixture turns soft.
<STEP> Add paneer with potato and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
paneer brinjal ginger capsicum,Shahi Paneer,"### CONTEXT
Ingredients: paneer, brinjal, ginger, capsicum

### ANSWER
<RECIPE_NAME> Shahi Paneer
<STEP> Heat oil in pan and sauté brinjal until slightly golden.
<STEP> Add ginger and cook until the mixture turns soft.
<STEP> Add paneer with capsicum and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice yogurt beans ghee carrot,Beans Biryani,"### CONTEXT
Ingredients: rice, yogurt, beans, ghee, carrot

### ANSWER
<RECIPE_NAME> Beans Biryani
<STEP> Heat ghee in a pot and sauté yogurt until fragrant.
<STEP> Add beans and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add ghee and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with beans.
<END>"
spinach ginger cashew paste cauliflower,Cauliflower Curry,"### CONTEXT
Ingredients: spinach, ginger, cashew paste, cauliflower

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté ginger until slightly golden.
<STEP> Add cashew paste and cook until the mixture turns soft.
<STEP> Add spinach with cauliflower and stir gently to coat.
<STEP> Cook the mixture until spinach absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice yogurt ghee mushroom paneer,Paneer Biryani,"### CONTEXT
Ingredients: rice, yogurt, ghee, mushroom, paneer

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté yogurt until fragrant.
<STEP> Add ghee and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add mushroom and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with ghee.
<END>"
rice potato carrot peas ghee paneer,Paneer Pulao,"### CONTEXT
Ingredients: rice, potato, carrot, peas, ghee, paneer

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté potato until fragrant.
<STEP> Add carrot and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add peas and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with carrot.
<END>"
rice yogurt peas mushroom egg,Egg Biryani,"### CONTEXT
Ingredients: rice, yogurt, peas, mushroom, egg

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté yogurt until fragrant.
<STEP> Add peas and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add mushroom and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with peas.
<END>"
okra cashew paste cauliflower capsicum tomato onion,Cauliflower Curry,"### CONTEXT
Ingredients: okra, cashew paste, cauliflower, capsicum, tomato, onion

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté cashew paste until slightly golden.
<STEP> Add cauliflower and cook until the mixture turns soft.
<STEP> Add okra with capsicum and stir gently to coat.
<STEP> Cook the mixture until okra absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
capsicum carrot peas,Peas Fry,"### CONTEXT
Ingredients: capsicum, carrot, peas

### ANSWER
<RECIPE_NAME> Peas Fry
<STEP> Heat oil in pan and sauté carrot until aromatic.
<STEP> Add capsicum and cook on medium heat until sealed.
<STEP> Add peas and stir continuously so ingredients combine well.
<STEP> Mix in carrot and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with peas and carrot.
<END>"
brinjal capsicum oil peas potato,Potato Fry,"### CONTEXT
Ingredients: brinjal, capsicum, oil, peas, potato

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté capsicum until aromatic.
<STEP> Add brinjal and cook on medium heat until sealed.
<STEP> Add oil and stir continuously so ingredients combine well.
<STEP> Mix in peas and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with oil and peas.
<END>"
potato oil butter cauliflower,Potato Fry,"### CONTEXT
Ingredients: potato, oil, butter, cauliflower

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté oil until aromatic.
<STEP> Add potato and cook on medium heat until sealed.
<STEP> Add butter and stir continuously so ingredients combine well.
<STEP> Mix in cauliflower and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with butter and cauliflower.
<END>"
paneer peas spinach yogurt cashew paste,Paneer Butter Masala,"### CONTEXT
Ingredients: paneer, peas, spinach, yogurt, cashew paste

### ANSWER
<RECIPE_NAME> Paneer Butter Masala
<STEP> Heat oil in pan and sauté peas until slightly golden.
<STEP> Add spinach and cook until the mixture turns soft.
<STEP> Add paneer with yogurt and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
